Invoice Date,AC,AD,AJ,AO,BG,BM,BO,BQ,CD,CQ,PJ,VC
2018-03-29,146.0,18.0,4.0,130.0,,2.0,15.0,68.0,159.0,16.0,1.0,
2018-03-30,51.0,4.0,,29.0,,,,4.0,36.0,3.0,,
2018-04-01,9.0,,4.0,2.0,,,1.0,4.0,155.0,6.0,,
2018-04-02,,,,,,,,,1.0,,,
2018-04-03,185.0,13.0,8.0,150.0,,4.0,30.0,151.0,362.0,29.0,,
2018-04-04,302.0,31.0,7.0,245.0,,6.0,28.0,123.0,277.0,23.0,4.0,
2018-04-05,417.0,40.0,13.0,338.0,,2.0,27.0,161.0,429.0,30.0,13.0,
2018-04-06,404.0,40.0,13.0,315.0,,2.0,20.0,135.0,456.0,53.0,3.0,
2018-04-09,383.0,21.0,4.0,256.0,,8.0,12.0,89.0,271.0,31.0,,
2018-04-10,401.0,12.0,10.0,259.0,,6.0,11.0,121.0,920.0,54.0,2.0,
2018-04-11,295.0,18.0,9.0,231.0,,6.0,28.0,119.0,336.0,29.0,4.0,
2018-04-12,247.0,16.0,14.0,192.0,,8.0,25.0,108.0,336.0,36.0,3.0,
2018-04-13,307.0,24.0,18.0,255.0,,8.0,17.0,101.0,381.0,39.0,2.0,
2018-04-16,459.0,38.0,15.0,374.0,,14.0,23.0,159.0,593.0,59.0,6.0,1.0
2018-04-17,373.0,15.0,5.0,266.0,,8.0,14.0,145.0,274.0,31.0,,
2018-04-18,225.0,15.0,22.0,165.0,,9.0,17.0,135.0,487.0,53.0,14.0,
2018-04-19,333.0,9.0,3.0,279.0,,9.0,23.0,137.0,297.0,63.0,2.0,
2018-04-20,588.0,25.0,13.0,405.0,,6.0,44.0,257.0,1076.0,53.0,7.0,
2018-04-23,654.0,29.0,17.0,485.0,,6.0,18.0,169.0,1020.0,56.0,5.0,
2018-04-24,494.0,29.0,27.0,373.0,,8.0,26.0,168.0,1033.0,107.0,5.0,
2018-04-25,490.0,19.0,21.0,367.0,,2.0,10.0,159.0,563.0,41.0,4.0,
2018-04-26,219.0,7.0,9.0,161.0,,5.0,12.0,117.0,288.0,35.0,2.0,
2018-04-27,162.0,12.0,1.0,163.0,,1.0,17.0,96.0,243.0,20.0,4.0,
2018-04-30,228.0,11.0,2.0,165.0,,2.0,25.0,90.0,117.0,16.0,,
2018-05-01,29.0,2.0,,23.0,,,,3.0,85.0,5.0,,
2018-05-02,282.0,21.0,11.0,218.0,,8.0,45.0,132.0,398.0,41.0,2.0,
2018-05-03,353.0,26.0,3.0,267.0,,8.0,13.0,134.0,238.0,25.0,8.0,
2018-05-04,313.0,20.0,6.0,257.0,,11.0,8.0,127.0,313.0,33.0,1.0,
2018-05-07,137.0,11.0,8.0,137.0,,2.0,17.0,103.0,187.0,19.0,,
2018-05-08,382.0,26.0,7.0,260.0,,10.0,30.0,136.0,367.0,42.0,4.0,1.0
2018-05-09,346.0,19.0,6.0,258.0,,5.0,9.0,133.0,308.0,29.0,1.0,
2018-05-10,104.0,4.0,3.0,103.0,,2.0,1.0,15.0,82.0,8.0,1.0,
2018-05-11,283.0,17.0,3.0,229.0,,2.0,4.0,88.0,328.0,28.0,4.0,
2018-05-14,257.0,17.0,2.0,214.0,,5.0,33.0,157.0,352.0,28.0,2.0,
2018-05-15,284.0,16.0,10.0,234.0,,4.0,18.0,144.0,291.0,31.0,5.0,
2018-05-16,360.0,12.0,21.0,277.0,,11.0,25.0,130.0,1153.0,72.0,2.0,
2018-05-17,407.0,21.0,6.0,311.0,,6.0,12.0,133.0,279.0,26.0,8.0,
2018-05-18,442.0,24.0,10.0,323.0,,11.0,11.0,112.0,543.0,36.0,6.0,
2018-05-21,126.0,15.0,,85.0,,,3.0,9.0,329.0,13.0,2.0,
2018-05-22,412.0,26.0,27.0,264.0,,9.0,26.0,158.0,684.0,70.0,1.0,
2018-05-23,452.0,38.0,16.0,389.0,,5.0,21.0,219.0,852.0,71.0,6.0,
2018-05-24,474.0,34.0,13.0,353.0,,9.0,20.0,163.0,834.0,67.0,4.0,
2018-05-25,527.0,31.0,10.0,440.0,,18.0,23.0,178.0,638.0,50.0,1.0,
2018-05-28,371.0,15.0,8.0,224.0,,8.0,20.0,112.0,398.0,19.0,2.0,
2018-05-29,178.0,20.0,4.0,140.0,,8.0,5.0,97.0,220.0,21.0,2.0,
2018-05-30,241.0,16.0,7.0,184.0,,3.0,16.0,96.0,278.0,30.0,2.0,
2018-05-31,58.0,12.0,1.0,46.0,,,3.0,5.0,33.0,4.0,2.0,
2018-06-01,319.0,27.0,4.0,240.0,,1.0,5.0,48.0,373.0,38.0,3.0,
2018-06-04,496.0,16.0,4.0,361.0,,9.0,30.0,171.0,266.0,16.0,3.0,
2018-06-05,332.0,26.0,7.0,299.0,,7.0,26.0,169.0,305.0,22.0,4.0,
2018-06-06,246.0,22.0,10.0,223.0,,10.0,31.0,161.0,432.0,45.0,10.0,
2018-06-07,262.0,21.0,9.0,202.0,,11.0,16.0,121.0,442.0,46.0,3.0,
2018-06-08,372.0,27.0,9.0,283.0,,5.0,13.0,117.0,445.0,27.0,,
2018-06-11,478.0,20.0,15.0,322.0,,7.0,34.0,217.0,1087.0,49.0,8.0,
2018-06-12,326.0,18.0,4.0,212.0,,9.0,17.0,174.0,270.0,18.0,6.0,
2018-06-13,247.0,15.0,9.0,195.0,,7.0,18.0,152.0,258.0,22.0,6.0,
2018-06-14,310.0,11.0,7.0,251.0,,10.0,21.0,162.0,631.0,49.0,4.0,
2018-06-15,399.0,14.0,11.0,310.0,,5.0,12.0,137.0,603.0,34.0,6.0,
2018-06-18,401.0,18.0,20.0,259.0,,2.0,20.0,120.0,361.0,44.0,4.0,
2018-06-19,570.0,32.0,22.0,379.0,,17.0,9.0,166.0,622.0,35.0,8.0,
2018-06-20,494.0,14.0,7.0,393.0,,4.0,20.0,224.0,522.0,34.0,3.0,
2018-06-21,398.0,29.0,11.0,301.0,,7.0,21.0,179.0,447.0,28.0,7.0,
2018-06-22,711.0,53.0,17.0,568.0,,13.0,12.0,215.0,819.0,87.0,1.0,
2018-06-25,672.0,25.0,8.0,527.0,,8.0,36.0,188.0,1094.0,71.0,13.0,
2018-06-26,344.0,15.0,2.0,282.0,,28.0,12.0,128.0,249.0,25.0,8.0,
2018-06-27,153.0,32.0,2.0,120.0,,3.0,8.0,92.0,197.0,17.0,6.0,
2018-06-28,191.0,18.0,1.0,140.0,,5.0,17.0,147.0,235.0,32.0,1.0,
