Invoice Date,100,203,204,205,206,207
2018-05-04,464.0,63.0,111.0,122.0,74.0,255.0
2018-05-07,265.0,59.0,,46.0,53.0,198.0
2018-05-08,711.0,73.0,59.0,,214.0,208.0
2018-05-09,663.0,65.0,59.0,49.0,92.0,186.0
2018-05-10,163.0,20.0,43.0,,97.0,
2018-05-11,484.0,7.0,44.0,92.0,201.0,158.0
2018-05-14,400.0,81.0,48.0,25.0,168.0,345.0
2018-05-15,508.0,34.0,82.0,55.0,73.0,285.0
2018-05-16,449.0,48.0,93.0,1103.0,132.0,238.0
2018-05-17,633.0,45.0,92.0,53.0,101.0,285.0
2018-05-18,889.0,46.0,218.0,55.0,71.0,239.0
2018-05-21,270.0,71.0,86.0,,155.0,
2018-05-22,969.0,42.0,53.0,55.0,234.0,324.0
2018-05-23,1016.0,138.0,123.0,458.0,87.0,247.0
2018-05-24,687.0,134.0,96.0,130.0,675.0,249.0
2018-05-25,1013.0,69.0,101.0,77.0,340.0,316.0
2018-05-28,272.0,31.0,,306.0,314.0,254.0
2018-05-29,224.0,56.0,52.0,88.0,61.0,214.0
2018-05-30,320.0,40.0,55.0,88.0,168.0,202.0
2018-05-31,1.0,20.0,58.0,49.0,36.0,
2018-06-01,712.0,97.0,122.0,72.0,55.0,
2018-06-04,313.0,540.0,37.0,66.0,50.0,366.0
2018-06-05,369.0,29.0,77.0,362.0,55.0,305.0
2018-06-06,692.0,1.0,74.0,60.0,63.0,300.0
2018-06-07,525.0,68.0,40.0,92.0,127.0,281.0
2018-06-08,616.0,86.0,92.0,83.0,162.0,259.0
2018-06-11,774.0,69.0,58.0,846.0,239.0,251.0
2018-06-12,341.0,59.0,60.0,160.0,96.0,338.0
2018-06-13,331.0,63.0,81.0,63.0,70.0,321.0
2018-06-14,355.0,46.0,48.0,541.0,136.0,330.0
2018-06-15,793.0,66.0,95.0,44.0,218.0,315.0
2018-06-18,690.0,30.0,62.0,58.0,95.0,314.0
2018-06-19,1003.0,63.0,156.0,241.0,72.0,325.0
2018-06-20,861.0,79.0,77.0,194.0,177.0,327.0
2018-06-21,778.0,48.0,43.0,106.0,186.0,267.0
2018-06-22,936.0,600.0,111.0,74.0,416.0,359.0
2018-06-25,1161.0,55.0,100.0,521.0,475.0,330.0
2018-06-26,376.0,44.0,80.0,40.0,290.0,263.0
2018-06-27,167.0,70.0,34.0,61.0,65.0,233.0
2018-06-28,279.0,25.0,37.0,78.0,58.0,310.0
2018-06-29,147.0,37.0,44.0,30.0,73.0,284.0
2018-07-01,,62.0,51.0,20.0,2.0,
2018-07-02,885.0,45.0,46.0,45.0,111.0,275.0
2018-07-03,334.0,37.0,1321.0,100.0,83.0,308.0
2018-07-04,308.0,53.0,1313.0,43.0,96.0,320.0
2018-07-05,271.0,25.0,53.0,47.0,71.0,263.0
2018-07-06,753.0,40.0,226.0,131.0,76.0,251.0
2018-07-09,418.0,96.0,42.0,820.0,122.0,295.0
2018-07-10,424.0,62.0,43.0,64.0,55.0,308.0
2018-07-11,598.0,36.0,82.0,85.0,40.0,301.0
